Allande;210;242;[27,47,29,77,72,12,28]
Aller;700;350;[33,36,32,66,15]
Amieva;925;269;[49,44,11]
Avilés;570;75;[16,20,25]
Belmonte de Miranda;415;250;[72,58,26,67]
Bimenes;725;225;[60,65,49,32]
Boal;170;150;[17,69,23,18,77,29]
Cabrales;1050;250;[42,35,45]
Cabranes;795;175;[39,76,48,19]
Candamo;500;150;[50,68,30,53,26]
Cangas de Onís;950;230;[3,44,55,35,42]
Cangas del Narcea;290;320;[22,28,1,72,67]
Caravia;890;147;[19,44,55]
Carreño;640;80;[25,20,24]
Caso;820;315;[2,66,48,49]
Castrillón;540;80;[68,30,20,4]
Castropol;95;90;[74,69,7,75,29]
Coaña;200;75;[23,7,77,40]
Colunga;845;130;[76,48,44,13]
Corvera de Asturias;585;100;[30,16,4,25,14,24,34]
Cudillero;440;80;[73,58,50,38]
Degaña;260;435;[28,12]
El Franco;175;80;[69,17,7,18]
Gijón;680;115;[14,20,34,65,76,64]
Gozón;610;45;[4,14,20]
Grado;500;200;[5,58,10,53,43,63,78,51,71]
Grandas de Salime;120;280;[62,59,47,1]
Ibias;150;380;[22,12]
Illano;170;190;[47,59,75,17,7,77,1]
Illas;550;115;[68,16,20,34,53,10]
Langreo;665;230;[36,43,65,60]
Laviana;730;290;[2,36,60,6,39,48,66]
Lena;615;370;[52,57,36,2]
Llanera;590;140;[53,30,20,24,65,43]
Llanes;1020;180;[55,11,42,8,45,46,54]
Mieres;625;270;[56,43,31,60,32,2,33,57,37]
Morcín;570;250;[63,56,36,57,52]
Muros de Nalón;495;80;[21,50,68]
Nava;760;200;[65,64,9,48,32,6]
Navia;245;80;[18,77,73]
Noreña;661;177;[65]
Onís;990;230;[11,35,8]
Oviedo;595;190;[56,63,26,53,34,65,31,36]
Parres;900;220;[3,49,48,19,13,55,11]
Peñamellera Alta;1100;230;[8,35,46]
Peñamellera Baja;1160;240;[35,54,45]
Pesoz;145;230;[59,29,1,27]
Piloña;830;220;[39,9,76,19,44,49,15,66,32]
Ponga;900;315;[15,48,44,3]
Pravia;470;120;[58,21,38,68,10]
Proaza;500;270;[78,26,63,52,71]
Quirós;540;320;[71,51,63,37,57,33]
Las Regueras;545;160;[10,30,34,43,26]
Ribadedeva;1160;205;[35,46]
Ribadesella;930;150;[13,44,11,35]
Ribera de Arriba;570;226;[63,43,36,37]
Riosa;575;280;[37,36,33,52]
Salas;415;160;[73,21,50,10,26,5,72]
San Martín de Oscos;120;220;[75,29,47,27,62]
San Martín del Rey Aurelio;700;250;[31,65,6,32,36]
San Tirso de Abres;30;145;[70,74]
Santa Eulalia de Oscos;80;250;[70,75,59,27]
Santo Adriano;540;240;[26,43,56,37,52,51]
Sariego;735;170;[24,76,9,39,65]
Siero;690;200;[41,34,24,64,6,60,31,43]
Sobrescobio;760;315;[2,32,48,15]
Somiedo;400;350;[12,72,5,71]
Soto del Barco;510;100;[38,50,16,10,30]
Tapia de Casariego;140;65;[17,23]
Taramundi;60;170;[61,74,75,62]
Teverga;480;320;[67,5,26,78,51,52]
Tineo;345;190;[1,77,73,58,5,67,12]
Valdés;320;100;[40,77,72,58,21]
Vegadeo;75;120;[61,70,17,75]
Villanueva de Oscos;95;200;[70,74,17,29,59,62]
Villaviciosa;750;110;[24,65,64,9,39,19]
Villayón;230;150;[7,18,40,73,72,1,29]
Yernes y Tameza;485;250;[26,51,71]